,,,,,,15oC Corrected,15oC Corrected,
Group,Species,Temperature,Body Mass,Growth,Specific growth,Growth,Specific growth,Source
Nanoflagellates (except dinoflagellates),Actinomonas mirabilis,20,1.65E-08,4.13E-09,2.50E-01,2.47E-09,1.49E-01,31
Nanoflagellates (except dinoflagellates),Bodo designis,20,1.19E-08,1.90E-09,1.60E-01,1.14E-09,9.56E-02,31
Nanoflagellates (except dinoflagellates),Ciliophrys infusionum,20,4.84E-08,2.18E-09,4.50E-02,1.30E-09,2.69E-02,31
Nanoflagellates (except dinoflagellates),Codosiga gracilis,20,7.70E-09,4.00E-10,5.20E-02,2.39E-10,3.11E-02,31
Nanoflagellates (except dinoflagellates),Diaphanoeca grandis,15,8.80E-09,1.06E-09,1.20E-01,1.06E-09,1.20E-01,31
Nanoflagellates (except dinoflagellates),Jakoba libera,20,1.65E-08,5.94E-10,3.60E-02,3.55E-10,2.15E-02,31
Nanoflagellates (except dinoflagellates),Monosiga sp.,20,4.40E-09,7.48E-10,1.70E-01,4.47E-10,1.02E-01,31
Nanoflagellates (except dinoflagellates),Ochromonas sp.,20,4.40E-08,8.36E-09,1.90E-01,5.00E-09,1.14E-01,31
Nanoflagellates (except dinoflagellates),Ochromonas sp.,20,1.10E-08,1.40E-09,1.27E-01,8.35E-10,7.59E-02,31
Nanoflagellates (except dinoflagellates),Paraphysomonas imperforata,20,4.66E-08,9.79E-09,2.10E-01,5.85E-09,1.25E-01,31
Nanoflagellates (except dinoflagellates),Paraphysomonas vestita,20,4.18E-08,9.61E-09,2.30E-01,5.75E-09,1.37E-01,31
Nanoflagellates (except dinoflagellates),Pleuromonas jaculans,20,1.10E-08,1.76E-09,1.60E-01,1.05E-09,9.56E-02,31
Nanoflagellates (except dinoflagellates),Pseudobodo tremulans,20,1.98E-08,2.97E-09,1.50E-01,1.77E-09,8.96E-02,31
Nanoflagellates (except dinoflagellates),Pseudobodo sp.,15,7.37E-09,8.48E-10,1.15E-01,8.48E-10,1.15E-01,31
Nanoflagellates (except dinoflagellates),Spumella sp.,25,1.44E-08,1.91E-09,1.33E-01,6.83E-10,4.75E-02,31
Nanoflagellates (except dinoflagellates),Stephanoeca diplocostata,18,4.40E-09,3.48E-10,7.90E-02,2.55E-10,5.80E-02,31
Nanoflagellates (except dinoflagellates),Stephanoeca diplocostata,20,1.83E-08,6.39E-10,3.50E-02,3.82E-10,2.09E-02,31
Nanoflagellates (except dinoflagellates),Paraphysomonas imperforata,0,3.26E-09,7.88E-11,2.42E-02,3.69E-10,1.13E-01,76
Nanoflagellates (except dinoflagellates),Paraphysomonas imperforata,5,3.26E-09,2.17E-10,6.67E-02,6.09E-10,1.87E-01,76
Nanoflagellates (except dinoflagellates),Paraphysomonas imperforata,10,3.26E-09,3.53E-10,1.08E-01,5.91E-10,1.81E-01,76
Nanoflagellates (except dinoflagellates),Paraphysomonas imperforata,15,3.26E-09,5.71E-10,1.75E-01,5.71E-10,1.75E-01,76
Nanoflagellates (except dinoflagellates),Paraphysomonas imperforata,20,3.26E-09,5.43E-10,1.67E-01,3.25E-10,9.96E-02,76
Dinoflagellates,Amphidinium crassum,15,4.10E-07,9.83E-09,2.40E-02,9.83E-09,2.40E-02,31
Dinoflagellates,Gymnodinium sp.,12,1.17E-07,4.10E-09,3.50E-02,5.58E-09,4.77E-02,31
Dinoflagellates,Gyrodinium dominans,15,1.35E-06,2.70E-08,2.00E-02,2.70E-08,2.00E-02,31
Dinoflagellates,Gyrodinium spirale,15,1.96E-06,4.32E-08,2.20E-02,4.32E-08,2.20E-02,31
Dinoflagellates,Gyrodinium sp.,15,3.25E-08,1.56E-09,4.80E-02,1.56E-09,4.80E-02,31
Dinoflagellates,Pblea rotunda,20,7.97E-07,2.31E-08,2.90E-02,1.38E-08,1.73E-02,31
Dinoflagellates,Oxyrrhis marina,20,8.19E-07,2.38E-08,2.90E-02,1.42E-08,1.73E-02,31
Dinoflagellates,Protoperidinium crassipes,19,2.65E-05,3.45E-07,1.30E-02,2.28E-07,8.61E-03,31
Dinoflagellates,Protoperidinium divergens,19,1.55E-05,2.94E-07,1.90E-02,1.95E-07,1.26E-02,31
Dinoflagellates,Protoperidinium hirobis,20,5.46E-07,2.73E-08,5.00E-02,1.63E-08,2.99E-02,31
Dinoflagellates,Protoperidinium pellucidum,15,3.29E-06,4.60E-08,1.40E-02,4.60E-08,1.40E-02,31
Dinoflagellates,Gymnodinium sp,13,2.30E-07,4.60E-09,2.00E-02,5.66E-09,2.46E-02,83
Dinoflagellates,Amphidinium sp,13,1.26E-07,2.46E-09,1.96E-02,3.03E-09,2.41E-02,83
Dinoflagellates,Noctiluca scintillans,13,2.26E-05,3.86E-07,1.71E-02,4.74E-07,2.10E-02,83
Dinoflagellates,Gyrodinium dominans,17,2.11E-07,5.28E-09,2.50E-02,4.29E-09,2.03E-02,79
Dinoflagellates,Diplopsalis lenticula,15,2.88E-06,4.08E-08,1.42E-02,4.08E-08,1.42E-02,60
Dinoflagellates,Noctiluca scintillans,24,1.30E-04,1.90E-06,1.46E-02,7.51E-07,5.77E-03,59
Dinoflagellates,Oxyrrhis marina,21,6.38E-06,3.11E-07,4.88E-02,1.68E-07,2.63E-02,58
Dinoflagellates,Protoperidinium huberi,20,5.50E-06,1.37E-07,2.50E-02,8.21E-08,1.49E-02,12
Ciliates,Eutintinnus pectinis,18,2.10E-06,1.53E-07,7.30E-02,1.13E-07,5.36E-02,31
Ciliates,Favella ehrenbergii,20,2.94E-05,8.53E-07,2.90E-02,5.10E-07,1.73E-02,31
Ciliates,Favella ehrenbergii,15,1.34E-05,4.55E-07,3.40E-02,4.55E-07,3.40E-02,31
Ciliates,Helicostomella subulata,18,2.94E-06,7.94E-08,2.70E-02,5.83E-08,1.98E-02,31
Ciliates,Lohmaniella spiralis,12,2.10E-05,9.24E-07,4.40E-02,1.26E-06,5.99E-02,31
Ciliates,Pseudobalanion planctonicum,18.5,2.02E-07,1.27E-08,6.30E-02,8.86E-09,4.39E-02,31
Ciliates,Strobilidium cf. spiralis,20,3.71E-06,2.23E-07,6.00E-02,1.33E-07,3.59E-02,31
Ciliates,Strobilidium reticulata,12,5.60E-06,2.02E-07,3.60E-02,2.75E-07,4.90E-02,31
Ciliates,Strombidium sulcatum,20,9.10E-07,1.09E-07,1.20E-01,6.53E-08,7.17E-02,31
Ciliates,Tintinnopsis cf. acuminata,20,9.94E-07,7.16E-08,7.20E-02,4.28E-08,4.30E-02,31
Ciliates,Tintinnopsis cf. acuminata,18,1.13E-06,5.78E-08,5.10E-02,4.25E-08,3.74E-02,31
Ciliates,Tintinnopsis dadayi,20,1.58E-05,9.18E-07,5.80E-02,5.48E-07,3.47E-02,31
Ciliates,Tintinnopsis vasculus,15,9.66E-06,4.83E-07,5.00E-02,4.83E-07,5.00E-02,31
Ciliates,Strombidium capitatum,15,8.72E-06,3.52E-07,4.04E-02,3.52E-07,4.04E-02,26
Ciliates,Strombidium siculum,15,4.28E-06,9.27E-08,2.17E-02,9.27E-08,2.17E-02,26
Ciliates,Strombidium acutum,15,4.29E-06,1.45E-07,3.38E-02,1.45E-07,3.38E-02,26
Ciliates,Sytrombidium conicum,15,5.54E-06,2.12E-07,3.83E-02,2.12E-07,3.83E-02,26
Ciliates,Strombidium sp,15,4.26E-06,1.81E-07,4.25E-02,1.81E-07,4.25E-02,26
Ciliates,Strombidium vestitum,15,1.43E-06,6.78E-08,4.75E-02,6.78E-08,4.75E-02,26
Ciliates,Strombidium neptuni,15,1.40E-05,9.81E-07,7.00E-02,9.81E-07,7.00E-02,26
Ciliates,Strombidium veniliae,15,3.08E-06,8.58E-08,2.79E-02,8.58E-08,2.79E-02,26
Ciliates,Strobilidium lacustris,15,1.43E-05,5.74E-07,4.00E-02,5.74E-07,4.00E-02,26
Ciliates,Lohmaniella oviformis,15,7.25E-07,2.20E-08,3.04E-02,2.20E-08,3.04E-02,26
Ciliates,Strobilidium spiralis,15,9.23E-06,5.84E-07,6.33E-02,5.84E-07,6.33E-02,26
