Species,Temperature,Growth Rate,Study,food,volume,volume reported?,Log Volume
Paraphysomonas imperforata,14,1.37,Caron et al (1986),diatom (Phaeodactylum tricornutum),226,Y,2.354108439
,18,1.92,,,224,Y,2.350248018
,22,2.52,,,228,Y,2.357934847
,26,4.04,,,210,Y,2.322219295
Stentor polymorphus,8.5,0.116,Finlay (1977),ciliate (Colpidium campylum),1269000,Y,6.103461622
,15,0.265,,,1933000,Y,6.286231854
,20,0.387,,,2336000,Y,6.368472838
Litonotus lamella,5,0.3,Fenchel (1968),ciliate (Uronema marina),5700,Y,3.755874856
,10,0.6,,,5700,Y,3.755874856
,23,1.7,,,5700,Y,3.755874856
Diophrys scutum,15,0.61,,diatom (Phaeodactylum sp),149000,Y,5.173186268
,20,0.74,,,149000,Y,5.173186268
,27,1.6,,,149000,Y,5.173186268
Lacrymaria marina,15,0.43,,ciliate (Uronema marina),5700,Y,3.755874856
Keronopsis rubra,15,0.29,,diatom (Phaeodactylum sp),71100,Y,4.851869601
,20,0.51,,,71100,Y,4.851869601
Condylostoma patulum,15,0.18,,phytoflagellate (Dunaliella),548000,Y,5.738780558
,20,0.37,,,548000,Y,5.738780558
Paraphysomonas imperforata,24,2.4,Goldman and Caron (1985),Dunaliella tertiolecta,1000,Y,3
,24,2.4,,Chlorella stigmataphora,100,Y,2
,24,2.3,,Chlorella capsulata,525,Y,2.720159303
,24,2.4,,Porphyridium sp.,525,Y,2.720159303
,24,2.4,,Isochrysis galbana,525,Y,2.720159303
,24,2.5,,Phaeodactylum tricornutum,270,Y,2.431363764
,24,3.5,,Phaeodactylum tricornutum,270,Y,2.431363764
,24,3.7,,Phaeodactylum tricornutum,270,Y,2.431363764
,24,3.4,,Phaeodactylum tricornutum,270,Y,2.431363764
,24,3.4,,Phaeodactylum tricornutum,270,Y,2.431363764
,24,3.6,,Phaeodactylum tricornutum,270,Y,2.431363764
Favella sp.,8,0.15,Aelion and Chisholm (1985),dinoflagellate (Heterocapsa triquetra),102000,(Strom and Morello 1998),5.008600172
,8,0.21,,,102000,(Strom and Morello 1998),5.008600172
,11.4,0.4,,,102000,(Strom and Morello 1998),5.008600172
,11.4,0.44,,,102000,(Strom and Morello 1998),5.008600172
,11.4,0.48,,,102000,(Strom and Morello 1998),5.008600172
,11.4,0.53,,,102000,(Strom and Morello 1998),5.008600172
,11.4,0.59,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.5,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.57,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.63,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.68,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.78,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.82,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.84,,,102000,(Strom and Morello 1998),5.008600172
,16.4,0.87,,,102000,(Strom and Morello 1998),5.008600172
,18.8,0.45,,,102000,(Strom and Morello 1998),5.008600172
,18.8,0.48,,,102000,(Strom and Morello 1998),5.008600172
,18.8,0.52,,,102000,(Strom and Morello 1998),5.008600172
,18.8,0.6,,,102000,(Strom and Morello 1998),5.008600172
,18.8,0.87,,,102000,(Strom and Morello 1998),5.008600172
,18.8,0.93,,,102000,(Strom and Morello 1998),5.008600172
,21.1,0.6,,,102000,(Strom and Morello 1998),5.008600172
,21.1,0.74,,,102000,(Strom and Morello 1998),5.008600172
,21.1,0.82,,,102000,(Strom and Morello 1998),5.008600172
,21.1,0.97,,,102000,(Strom and Morello 1998),5.008600172
Paraphysomonas imperforata,20,2.55,Caron et al (1985),Phaeodactylum tricornutum,128,Y,2.10720997
,20,2.52,,Phaeodactylum tricornutum+Halomonas halodurans,128,Y,2.10720997
,20,2.1,,Phaeodactylum tricornutum,128,Y,2.10720997
,20,2.31,,Phaeodactylum tricornutum,128,Y,2.10720997
,24,3.48,,Phaeodactylum tricornutum,128,Y,2.10720997
,24,3.41,,Phaeodactylum tricornutum,128,Y,2.10720997
,24,3.5,,Phaeodactylum tricornutum+Halomonas halodurans,128,Y,2.10720997
Paraphysomonas imperforata,20,2.67,Goldman et al (1987),Phaeodactylum tricornutum,390,(Goldman 1985),2.591064607
,20,2.52,,Phaeodactylum tricornutum,390,(Goldman 1985),2.591064607
,20,2.5,,Phaeodactylum tricornutum,390,(Goldman 1985),2.591064607
,20,1.97,,Dunaliella tertiolecta,390,(Goldman 1985),2.591064607
,20,2.2,,Dunaliella tertiolecta,390,(Goldman 1985),2.591064607
,20,2.08,,Dunaliella tertiolecta,390,(Goldman 1985),2.591064607
,20,2.61,,Phaeodactylum tricornutum,390,(Goldman 1985),2.591064607
,20,1.98,,Phaeodactylum tricornutum,390,(Goldman 1985),2.591064607
,20,2.24,,Phaeodactylum tricornutum,390,(Goldman 1985),2.591064607
,20,2.52,,Dunaliella tertiolecta,390,(Goldman 1985),2.591064607
,20,2.07,,Dunaliella tertiolecta,390,(Goldman 1985),2.591064607
,20,1.94,,Dunaliella tertiolecta,390,(Goldman 1985),2.591064607
Paraphysomonas vestita,18,1.2,John and Davidson (2001),Isochrysis galbana,390,(Goldman 1985),2.591064607
,18,1.68,,Isochrysis galbana,390,(Goldman 1985),2.591064607
,18,1.2,,Pavlova lutheri,390,(Goldman 1985),2.591064607
,18,1.2,,Pavlova lutheri,390,(Goldman 1985),2.591064607
Pseudobalanion planctonicum,5.5,0.46,Muller and Geller (1993),Rhodomonas sp.,1800,Y,3.255272505
,9,0.83,,,1800,Y,3.255272505
,12,0.94,,,1800,Y,3.255272505
,15.5,1.24,,,1800,Y,3.255272505
,18.5,1.52,,,1800,Y,3.255272505
Urotricha farcta,5.5,0.46,,Rhodomonas sp.,3900,Y,3.591064607
,9,0.52,,,3900,Y,3.591064607
,12,0.66,,,3900,Y,3.591064607
,15.5,0.75,,,3900,Y,3.591064607
,18.5,1.33,,,3900,Y,3.591064607
,21.5,1.72,,,3900,Y,3.591064607
Pelagostrombidium fallax,5.5,0.03,,Rhodomonas sp.,50000,Y,4.698970004
,9,0.21,,,50000,Y,4.698970004
,12,0.42,,,50000,Y,4.698970004
,15.5,0.57,,,50000,Y,4.698970004
,18.5,0.76,,,50000,Y,4.698970004
,21.5,0.9,,,50000,Y,4.698970004
Strobilidium lacustris,5.5,0.43,,Rhodomonas sp.,113000,Y,5.053078443
,9,0.6,,,113000,Y,5.053078443
,12,0.7,,,113000,Y,5.053078443
,15.5,0.99,,,113000,Y,5.053078443
,18.5,1.38,,,113000,Y,5.053078443
,21.5,1.42,,,113000,Y,5.053078443
Strombidium sulcatum,20,1.22,(Fenchel and Jonsson (1988),Pteridomonas danica,6500,Y,3.812913357
,20,2.02,,,6500,Y,3.812913357
,20,1.92,,,6500,Y,3.812913357
Strombidium reticulatum,12,0.17,Jonsson (1986),Pyramimonas sp.,40000,Y,4.602059991
,12,0.34,,,40000,Y,4.602059991
,12,0.36,,,40000,Y,4.602059991
,12,0.48,,,40000,Y,4.602059991
,12,0.67,,,40000,Y,4.602059991
,12,0.77,,,40000,Y,4.602059991
,12,0.86,,,40000,Y,4.602059991
,12,0.74,,,40000,Y,4.602059991
Lohmanniella spiralis,12,0.23,,,150000,Y,5.176091259
,12,0.43,,,150000,Y,5.176091259
,12,0.43,,,150000,Y,5.176091259
,12,0.62,,,150000,Y,5.176091259
,12,0.89,,,150000,Y,5.176091259
,12,1,,,150000,Y,5.176091259
,12,1.06,,,150000,Y,5.176091259
Euplotes crassus,23,1.760455209,Dini and Nyberg (1999),Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.481189648,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.184106766,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.012067636,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.49782518,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.445423253,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.295076192,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.210512236,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.283226813,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.154301437,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.055042761,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.027455503,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.311645847,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.432253457,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.059894791,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,2.292376356,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.843494241,,Chlorella sp.,33000,Protist Info Server,4.51851394
,23,1.283847208,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.054488243,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.013176671,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,1.995016215,,Dunaliella salina,33000,Protist Info Server,4.51851394
,23,2.412429447,,Dunaliella salina,33000,Protist Info Server,4.51851394
