"Final version: March 17, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Appendix 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data used for Figure 2 in Kirchman. 2016.   Growth rates of microbes in the oceans. Annual Review of Marine Science, v.8  doi: 10.1146/annurev-marine-122414-033938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Growth Rates of Heterotrophic Bacteria Estimated by the Leucine-Biomass Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I used production and biomass data as reported in the paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If necessary, the following conversion factors were used:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C/cell,10 fgC/cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,leucine conversion,1.5 kgC/mole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Conversion factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Growth,Leucine ,C per cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Dates,Lat,Lon,Rate (/d),kgC/mol,fgC/cell,Comments,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alboran,Sep/99,,,0.21,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., U. Christaki, A. Giannokourou, T. Moutin, and K. Souvemerzoglou. 2002. Longitudinal and vertical trends of bacterial limitation by phosphorus and carbon in the Mediterranean Sea. Microbial. Ecol. 43: 119-133.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alboran, Almeria - Oran frontal area",Jan. 1998,,,0.18,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., D. Lefevre, L. Prieur, R. Sempere, M. Bianchi, K. Oubelkheir, and F. Bruyant. 2004. Distribution of microbial biomass, production, respiration, dissolved organic carbon and factors controlling bacterial production across a geostrophic front (Almeria-Oran, SW Mediterranean Sea). Mar. Ecol. Progr. Ser. 269: 1-15.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alboran, Almeria - Oran frontal area",Jan. 1998,,,0.12,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., D. Lefevre, L. Prieur, R. Sempere, M. Bianchi, K. Oubelkheir, and F. Bruyant. 2004. Distribution of microbial biomass, production, respiration, dissolved organic carbon and factors controlling bacterial production across a geostrophic front (Almeria-Oran, SW Mediterranean Sea). Mar. Ecol. Progr. Ser. 269: 1-15.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alboran, Almeria - Oran frontal area",Jan. 1998,,,0.12,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., D. Lefevre, L. Prieur, R. Sempere, M. Bianchi, K. Oubelkheir, and F. Bruyant. 2004. Distribution of microbial biomass, production, respiration, dissolved organic carbon and factors controlling bacterial production across a geostrophic front (Almeria-Oran, SW Mediterranean Sea). Mar. Ecol. Progr. Ser. 269: 1-15.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Algero provencal,Sep/99,,,0.13,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., U. Christaki, A. Giannokourou, T. Moutin, and K. Souvemerzoglou. 2002. Longitudinal and vertical trends of bacterial limitation by phosphorus and carbon in the Mediterranean Sea. Microbial. Ecol. 43: 119-133.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Algero provencal,Jun/99,,,0.15,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., U. Christaki, A. Giannokourou, T. Moutin, and K. Souvemerzoglou. 2002. Longitudinal and vertical trends of bacterial limitation by phosphorus and carbon in the Mediterranean Sea. Microbial. Ecol. 43: 119-133.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Algero provencal,5 May - 5 Jun. 2007,,,0.06,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Ortega-Retuerta, E., C. Duarte, and I. Reche. 2010. Significance of Bacterial Activity for the Distribution and Dynamics of Transparent Exopolymer Particles in the Mediterranean Sea. Microbial. Ecol. 59: 808-818.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Algero provencal,"10-17 Jul, 2008",,,0.09,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke et al. unpub; see Pulido-Villena et al. 2012, complete reference given below",,,,,,,,,,,,,,,,,,,,,,,,,,,
Algero provencal,15-21 Oct 1996,,,0.19,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Moran, X. a. G., I. Taupier-Letage, E. Vazquez-Dominguez, S. Ruiz, L. Arin, P. Raimbault, and M. Estrada. 2001. Physical-biological coupling in the Algerian Basin (SW Mediterranean): Influence of mesoscale instabilities on the biomass and production of phytoplankton and bacterioplankton. Deep-Sea Res I 48: 405-437.",,,,,,,,,,,,,,,,,,,,,,,,,,,
